key,B_Index,N_Index,Cl_Index,Conf_id,source_TS_G_hartree,base_log_exists,fallback_log_exists,log_file,log_exists,status,error_type,error,electronic_energy_hartree,gibbs_rrho_hartree,gibbs_qharm_hartree,gibbs_qrrho_hartree,gibbs_full_qrrho_hartree,rrho_g_corr_hartree,qharm_g_corr_hartree,temperature_K,frequency_cutoff_cm_1,n_real_frequencies,n_low_positive_frequencies,min_positive_frequency_cm_1,low_positive_frequencies_cm_1,elapsed_seconds
B_00395_LB_00304_Cl_00487,395,304,487,10,-1118.227877,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00395_Nu_00304_Cl_00487_0010.log,True,ok,,,-1118.59405121,-1118.3416033016963,-1118.336123113618,-1118.3367894234264,-1118.3409834135898,0.25244790830371555,0.25792809638220715,298.15,100.0,104,7,21.6875,"[21.6875, 27.7194, 34.889, 50.2073, 56.1052, 61.6734, 78.7107]",0.5194607998710126
B_00395_LB_00306_Cl_00483,395,306,483,1,-1887.185439,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00395_Nu_00306_Cl_00483_0001.log,True,ok,,,-1887.48490544,-1887.32045129701,-1887.3144248941621,-1887.3151069736302,-1887.3198313223131,0.16445414298971245,0.17048054583775607,298.15,100.0,92,9,15.4429,"[15.4429, 25.1175, 43.7789, 48.4703, 55.5823, 66.2569, 67.3179, 78.6194, 99.7809]",0.3379609000403434
B_00395_LB_00306_Cl_00485,395,306,485,0,-1909.185516,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00395_Nu_00306_Cl_00485_0000.log,True,ok,,,-1909.51957857,-1909.3408875453158,-1909.3331272742612,-1909.3347196897548,-1909.3393342531997,0.17869102468421735,0.18645129573878017,298.15,100.0,98,8,8.9253,"[8.9253, 18.1249, 27.8959, 34.9824, 41.1227, 58.0642, 74.8953, 90.1965]",0.42936929990537465
B_00395_LB_00308_Cl_00487,395,308,487,11,-1177.207908,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00395_Nu_00308_Cl_00487_0011.log,True,ok,,,-1177.59867737,-1177.3429631444872,-1177.336038755492,-1177.337337604852,-1177.3415772400206,0.25571422551284395,0.2626386145079038,298.15,100.0,107,9,12.4276,"[12.4276, 17.9146, 28.0248, 47.2692, 55.5474, 66.8251, 72.5953, 85.7127, 90.6602]",0.36163379997015
B_00395_LB_00324_Cl_00487,395,324,487,1,-1118.25555,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00395_Nu_00324_Cl_00487_0001.log,True,ok,,,-1118.62068859,-1118.3658640217177,-1118.3617373623865,-1118.3617721835076,-1118.3658601682346,0.2548245682823345,0.2589512276135655,298.15,100.0,104,8,23.6864,"[23.6864, 42.642, 48.8787, 53.6532, 64.2429, 82.6745, 87.9939, 97.89]",0.12635700008831918
B_00395_LB_00331_Cl_00487,395,331,487,0,-1173.603917,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00395_Nu_00331_Cl_00487_0000.log,True,ok,,,-1173.9877533,-1173.7196588903034,-1173.714723162446,-1173.7150831553517,-1173.7194139653652,0.26809440969654236,0.273030137553926,298.15,100.0,110,9,26.531,"[26.531, 36.4215, 43.0452, 47.9837, 54.9061, 67.9032, 82.9519, 86.8426, 95.165]",0.10001590009778738
B_00395_LB_00333_Cl_00618,395,333,618,0,-2787.466404,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00395_Nu_00333_Cl_00618_0000.log,True,ok,,,-2787.77711581,-2787.6206029824707,-2787.6122629712786,-2787.614146229951,-2787.6188867411443,0.1565128275293093,0.16485283872113474,298.15,100.0,98,8,10.257,"[10.257, 11.7457, 19.3219, 28.3012, 42.6492, 69.1811, 79.9989, 88.7102]",0.29901840002276003
B_00395_LB_00377_Cl_00479,395,377,479,12,-2051.825548,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00395_Nu_00377_Cl_00479_0012.log,True,ok,,,-2052.27966373,-2052.012556185113,-2052.007790298704,-2052.0081238682255,-2052.012512363427,0.2671075448866161,0.271873431295532,298.15,100.0,125,9,22.5042,"[22.5042, 35.6746, 45.6485, 59.1241, 63.6612, 74.8006, 78.7398, 79.7974, 94.3015]",0.3062142999842763
B_00395_LB_00377_Cl_00485,395,377,485,11,-1898.222596,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00395_Nu_00377_Cl_00485_0011.log,True,ok,,,-1898.59065392,-1898.370870885103,-1898.3653257653384,-1898.3661749449739,-1898.3701915520983,0.21978303489709156,0.22532815466169862,298.15,100.0,107,7,17.38,"[17.38, 19.1965, 43.8878, 52.6662, 59.9798, 66.2897, 87.566]",0.5566237999591976
B_00396_LB_00254_Cl_00488,396,254,488,1,-1911.643686,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00396_Nu_00254_Cl_00488_0001.log,True,ok,,,-1912.01328338,-1911.787563062843,-1911.7814103117428,-1911.7821839027115,-1911.7870207155609,0.2257203171569776,0.23187306825736315,298.15,100.0,110,9,18.6897,"[18.6897, 21.3163, 39.1751, 44.2408, 59.6489, 66.8525, 70.4977, 79.5053, 90.6061]",0.11724669998511672
B_00396_LB_00302_Cl_00488,396,302,488,10,-1927.666782,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00396_Nu_00302_Cl_00488_0010.log,True,ok,,,-1928.02189245,-1927.8092449167848,-1927.803262041509,-1927.8038593668139,-1927.8088982900713,0.21264753321519642,0.21863040849106696,298.15,100.0,107,10,20.1645,"[20.1645, 32.1001, 42.3288, 45.715, 49.5366, 62.6023, 73.8987, 78.0436, 82.1668, 90.6252]",0.5962992000859231
B_00396_LB_00306_Cl_00526,396,306,526,10,-1448.704435,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00396_Nu_00306_Cl_00526_0010.log,True,ok,,,-1449.02521896,-1448.8408067544285,-1448.8350810062807,-1448.8356937085628,-1448.8403287042827,0.18441220557166293,0.19013795371933626,298.15,100.0,95,8,14.2782,"[14.2782, 28.5402, 39.9451, 44.9414, 60.4932, 70.7753, 75.1721, 93.8863]",0.12128960015252233
B_00396_LB_00333_Cl_00483,396,333,483,1,-2089.418878,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00396_Nu_00333_Cl_00483_0001.log,True,ok,,,-2089.68229606,-2089.566884496508,-2089.5596535579007,-2089.560615877766,-2089.565951276958,0.1154115634921564,0.12264250209949906,298.15,100.0,86,10,21.3123,"[21.3123, 25.3378, 29.8095, 34.4965, 36.6885, 57.0192, 65.2261, 78.5668, 84.3236, 88.1685]",0.5222812998108566
B_00396_LB_00333_Cl_00488,396,333,488,0,-2035.96783,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00396_Nu_00333_Cl_00488_0000.log,True,ok,,,-2036.32426933,-2036.1258149833213,-2036.1202466558707,-2036.1206736446122,-2036.1256853313093,0.19845434667875628,0.20402267412951813,298.15,100.0,107,9,20.4722,"[20.4722, 27.6822, 37.8468, 50.7273, 61.0512, 67.0978, 73.8745, 80.7718, 97.9368]",0.5175308000762016
B_00396_LB_00377_Cl_00483,396,377,483,0,-1970.183298,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00396_Nu_00377_Cl_00483_0000.log,True,ok,,,-1970.48045563,-1970.3090145206204,-1970.3027954111883,-1970.3037070203554,-1970.3081637861887,0.17144110937963825,0.1776602188118528,298.15,100.0,95,9,13.9864,"[13.9864, 24.5206, 32.9739, 47.6869, 56.6528, 70.2862, 78.525, 82.3087, 94.1187]",0.406498400028795
B_00397_LB_00160_Cl_00453,397,160,453,0,-2075.925956,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00397_Nu_00160_Cl_00453_0000.log,True,ok,,,-2076.10759235,-2075.979049957299,-2075.97234606133,-2075.9739774547043,-2075.977529960529,0.1285423927004583,0.13524628866973676,298.15,100.0,74,7,3.9867,"[3.9867, 18.9204, 30.003, 56.613, 71.041, 87.1441, 99.7905]",0.11029970017261803
B_00397_LB_00178_Cl_00489,397,178,489,20,-2501.90174,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00397_Nu_00178_Cl_00489_0020.log,True,ok,,,-2502.23454492,-2502.006088713725,-2501.9978462399263,-2501.999665518673,-2502.004220667182,0.22845620627501528,0.23669868007384093,298.15,100.0,107,9,5.7193,"[5.7193, 17.3274, 25.9612, 30.6035, 52.8298, 61.2195, 75.8765, 79.8159, 99.0041]",0.568337099859491
B_00397_LB_00254_Cl_00489,397,254,489,10,-2452.996195,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00397_Nu_00254_Cl_00489_0010.log,True,ok,,,-2453.20185334,-2453.0966871168644,-2453.0911681669754,-2453.0920419767185,-2453.0958851371506,0.10516622313554784,0.110685173024644,298.15,100.0,71,7,22.6189,"[22.6189, 25.2412, 37.2541, 43.5985, 50.7759, 70.8127, 82.6159]",0.10245439992286265
B_00397_LB_00263_Cl_00489,397,263,489,0,-2499.753577,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00397_Nu_00263_Cl_00489_0000.log,True,ok,,,-2500.04212399,-2499.8455534006694,-2499.836131492489,-2499.838580300324,-2499.8431454824763,0.19657058933064386,0.20599249751091175,298.15,100.0,98,9,3.2592,"[3.2592, 14.8851, 23.9196, 36.8286, 40.0083, 59.9298, 62.5627, 81.8695, 82.9719]",0.4734445000067353
B_00397_LB_00280_Cl_00489,397,280,489,10,-2439.380786,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00397_Nu_00280_Cl_00489_0010.log,True,ok,,,-2439.63475065,-2439.4751136772375,-2439.4685706400887,-2439.4697425679296,-2439.47399665697,0.15963697276252303,0.16618000991118562,298.15,100.0,86,8,13.4546,"[13.4546, 19.6641, 27.0501, 40.1076, 50.7607, 75.7032, 87.1103, 96.8448]",0.0702506999950856
B_00397_LB_00292_Cl_00483,397,292,483,0,-1830.631598,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00397_Nu_00292_Cl_00483_0000.log,True,ok,,,-1830.89080482,-1830.7637635717113,-1830.7585190184689,-1830.7591844755507,-1830.7631847428977,0.12704124828883295,0.1322858015313381,298.15,100.0,80,8,19.7334,"[19.7334, 23.6293, 43.4217, 48.3195, 66.5624, 68.7458, 86.873, 94.9035]",0.22455279994755983
B_00397_LB_00293_Cl_00489,397,293,489,0,-2513.588188,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00397_Nu_00293_Cl_00489_0000.log,True,ok,,,-2513.82759709,-2513.668375991811,-2513.6615488761904,-2513.662841235391,-2513.667158117382,0.1592210981890199,0.16604821380945448,298.15,100.0,86,8,13.8188,"[13.8188, 18.9212, 29.6926, 41.4482, 53.2042, 65.5184, 70.7268, 86.3609]",0.06653079995885491
B_00397_LB_00301_Cl_00489,397,301,489,0,-2552.387428,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00397_Nu_00301_Cl_00489_0000.log,True,ok,,,-2552.72390032,-2552.488192091403,-2552.480478804814,-2552.481869345216,-2552.4869552212117,0.23570822859728907,0.24342151518631572,298.15,100.0,110,9,9.4395,"[9.4395, 14.5009, 33.8622, 40.2477, 49.1701, 67.2558, 71.3556, 72.4102, 83.649]",0.08830820000730455
B_00397_LB_00302_Cl_00489,397,302,489,10,-2469.015366,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00397_Nu_00302_Cl_00489_0010.log,True,ok,,,-2469.20588581,-2469.1134210436753,-2469.108199513632,-2469.1088384073782,-2469.1128226998194,0.09246476632453975,0.09768629636781566,298.15,100.0,68,9,20.3875,"[20.3875, 28.4533, 36.0619, 50.0431, 64.4273, 72.3579, 83.9763, 95.2876, 96.7546]",0.383177800104022
B_00397_LB_00304_Cl_00489,397,304,489,0,-2363.16684,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00397_Nu_00304_Cl_00489_0000.log,True,ok,,,-2363.39477393,-2363.243135545047,-2363.237157009956,-2363.2382856520153,-2363.24206669588,0.1516383849528567,0.15761692004413674,298.15,100.0,80,7,14.4379,"[14.4379, 19.993, 30.1828, 50.5462, 55.2365, 72.2513, 96.5918]",0.06504799984395504
B_00397_LB_00306_Cl_00489,397,306,489,20,-2469.025013,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00397_Nu_00306_Cl_00489_0020.log,True,ok,,,-2469.21403761,-2469.1229283073294,-2469.1158898156814,-2469.117367948795,-2469.1213957144855,0.09110930267048109,0.09814779431894574,298.15,100.0,68,7,10.7187,"[10.7187, 20.3799, 24.2691, 36.8857, 45.6944, 74.7321, 82.3539]",0.4069209999870509
B_00398_LB_00143_Cl_00480,398,143,480,12,-2097.583921,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00143_Cl_00480_0012.log,True,ok,,,-2097.83238145,-2097.6885602447796,-2097.6829433659254,-2097.683400618184,-2097.688192362925,0.1438212052202322,0.1494380840745098,298.15,100.0,86,10,21.7306,"[21.7306, 24.7043, 32.7761, 49.2216, 64.1282, 74.5594, 78.1267, 87.2189, 89.6619, 97.8419]",0.07944640005007386
B_00398_LB_00143_Cl_00483,398,143,483,0,-2042.208583,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00143_Cl_00483_0000.log,True,ok,,,-2042.43844651,-2042.313310473123,-2042.3070112404196,-2042.307812357242,-2042.3125661836898,0.12513603687692892,0.1314352695803756,298.15,100.0,80,9,15.6429,"[15.6429, 20.9749, 34.1228, 48.9604, 52.9272, 64.3198, 80.8061, 83.4119, 95.3734]",0.07688900013454258
B_00398_LB_00143_Cl_00492,398,143,492,1,-1912.786344,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00143_Cl_00492_0001.log,True,ok,,,-1913.01525603,-1912.886733350015,-1912.8800518091864,-1912.8811375619198,-1912.8855976680552,0.12852267998507255,0.1352042208136838,298.15,100.0,77,9,11.0372,"[11.0372, 18.4279, 32.7426, 51.5047, 53.4745, 62.9198, 78.8417, 88.1249, 99.9072]",0.39355550007894635
B_00398_LB_00144_Cl_00490,398,144,490,10,-1681.488988,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00144_Cl_00490_0010.log,True,ok,,,-1681.69455998,-1681.5255342494343,-1681.5196293417766,-1681.5204551831716,-1681.524771076651,0.16902573056566997,0.1749306382231705,298.15,100.0,92,9,16.0777,"[16.0777, 26.4007, 30.7728, 53.5739, 55.9592, 71.8663, 76.7393, 86.832, 97.3366]",0.08302679983898997
B_00398_LB_00160_Cl_00490,398,160,490,0,-1235.255089,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00160_Cl_00490_0000.log,True,ok,,,-1235.53993437,-1235.333531556721,-1235.3289486142894,-1235.329668591131,-1235.33301699153,0.20640281327904333,0.21098575571078476,298.15,100.0,92,6,18.0284,"[18.0284, 26.0073, 37.1952, 61.6609, 73.0801, 95.5392]",0.14062569988891482
B_00398_LB_00178_Cl_00490,398,178,490,10,-1262.799361,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00178_Cl_00490_0010.log,True,ok,,,-1263.2222029,-1262.918968146385,-1262.9129280771222,-1262.9140692331734,-1262.9179256224722,0.3032347536150458,0.3092748228777456,298.15,100.0,122,6,15.2113,"[15.2113, 18.5844, 32.4867, 38.067, 56.4764, 80.6416]",0.13392599998041987
B_00398_LB_00193_Cl_00490,398,193,490,0,-1353.114143,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00193_Cl_00490_0000.log,True,ok,,,-1353.50088346,-1353.2129674854168,-1353.2064346858613,-1353.2076933630017,-1353.2117916237949,0.28791597458316465,0.2944487741387022,298.15,100.0,119,8,19.4175,"[19.4175, 21.5621, 26.5678, 39.1074, 48.5039, 57.0951, 83.6728, 92.9754]",0.13521079998463392
B_00398_LB_00195_Cl_00490,398,195,490,10,-1466.181223,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00195_Cl_00490_0010.log,True,ok,,,-1466.59943268,-1466.317404930939,-1466.3104456231931,-1466.3117854802126,-1466.3161565781304,0.2820277490612112,0.28898705680695497,298.15,100.0,122,8,17.4703,"[17.4703, 23.2204, 25.1632, 34.0216, 45.3064, 64.8289, 65.2547, 89.346]",0.23074580007232726
B_00398_LB_00254_Cl_00490,398,254,490,0,-1213.900234,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00254_Cl_00490_0000.log,True,ok,,,-1214.19704891,-1214.017894850959,-1214.0139499764477,-1214.0143195288351,-1214.0176867521022,0.17915405904100754,0.18309893355225917,298.15,100.0,86,6,30.8837,"[30.8837, 35.3358, 41.677, 52.797, 70.3603, 87.2317]",0.19030410004779696
B_00398_LB_00263_Cl_00490,398,263,490,10,-1260.652192,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00263_Cl_00490_0010.log,True,ok,,,-1261.03049028,-1260.7600476084376,-1260.7520826928514,-1260.7540556026831,-1260.7581164022881,0.27044267156254065,0.2784075871487046,298.15,100.0,113,7,9.6761,"[9.6761, 14.9807, 22.4303, 30.4575, 44.1179, 58.4533, 80.4627]",0.12067370000295341
B_00398_LB_00273_Cl_00490,398,273,490,0,-1213.91526,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00273_Cl_00490_0000.log,True,ok,,,-1214.20594989,-1214.029439844712,-1214.0233319589001,-1214.024544715402,-1214.0282222695523,0.17651004528809083,0.18261793109999677,298.15,100.0,86,7,13.1137,"[13.1137, 21.7535, 28.0123, 42.8371, 55.8026, 80.8601, 95.8768]",0.16817339998669922
B_00398_LB_00280_Cl_00490,398,280,490,0,-1200.281944,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00280_Cl_00490_0000.log,True,ok,,,-1200.62563904,-1200.3932613481331,-1200.3872164707166,-1200.3882867832115,-1200.392258025389,0.23237769186673574,0.23842256928338706,298.15,100.0,101,7,15.5933,"[15.5933, 22.348, 30.0074, 40.9341, 51.1255, 76.7614, 94.1107]",0.1481799001339823
B_00398_LB_00291_Cl_00490,398,291,490,0,-1442.47154,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00291_Cl_00490_0000.log,True,ok,,,-1442.66013274,-1442.5237452927558,-1442.5185110722202,-1442.5194325087282,-1442.5228613809527,0.13638744724420832,0.14162166777983753,298.15,100.0,77,6,19.8973,"[19.8973, 26.5282, 33.3079, 41.3865, 60.3057, 85.3616]",0.2190612000413239
B_00398_LB_00293_Cl_00490,398,293,490,0,-1274.490729,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00293_Cl_00490_0000.log,True,ok,,,-1274.82008346,-1274.5868586688912,-1274.5819814784431,-1274.5825684291915,-1274.5863969577633,0.23322479110878103,0.2381019815567515,298.15,100.0,101,6,21.3094,"[21.3094, 25.9202, 39.2199, 51.1089, 56.62, 87.3169]",0.11132719996385276
B_00398_LB_00298_Cl_00490,398,298,490,10,-1124.07075,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00298_Cl_00490_0010.log,True,ok,,,-1124.38698745,-1124.1624075505192,-1124.157036984116,-1124.1579475151527,-1124.1615628372158,0.22457989948081772,0.22995046588398493,298.15,100.0,95,7,14.6103,"[14.6103, 25.8663, 31.6153, 56.1342, 67.9555, 82.2555, 86.3991]",0.15059880004264414
B_00398_LB_00304_Cl_00490,398,304,490,0,-1124.070987,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00304_Cl_00490_0000.log,True,ok,,,-1124.38644407,-1124.1629227761075,-1124.1568173130117,-1124.1581368027428,-1124.161695940826,0.22352129389232683,0.2296267569882699,298.15,100.0,95,6,11.7899,"[11.7899, 21.3124, 25.2282, 52.5214, 55.7259, 80.1319]",0.10108819999732077
B_00398_LB_00324_Cl_00490,398,324,490,10,-1124.099851,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00324_Cl_00490_0010.log,True,ok,,,-1124.41390815,-1124.1894919926863,-1124.183167761248,-1124.1844750598784,-1124.1881852449962,0.2244161573136267,0.2307403887520784,298.15,100.0,95,7,12.8265,"[12.8265, 21.977, 28.1085, 48.8252, 53.0292, 65.8058, 86.9313]",0.10861260001547635
B_00398_LB_00377_Cl_00483,398,377,483,10,-1860.155467,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00398_Nu_00377_Cl_00483_0010.log,True,ok,,,-1860.49815254,-1860.2822742216206,-1860.2772651993564,-1860.2778972315584,-1860.2817801882106,0.21587831837944982,0.22088734064375345,298.15,100.0,104,7,22.8441,"[22.8441, 28.158, 36.573, 52.9961, 56.4526, 78.7928, 85.5162]",0.09151449985802174
B_00399_LB_00160_Cl_00454,399,160,454,12,-2168.626001,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00399_Nu_00160_Cl_00454_0012.log,True,ok,,,-2168.91661333,-2168.710563995764,-2168.7049891641486,-2168.705831495838,-2168.7099212667954,0.20604933423621002,0.21162416585151905,298.15,100.0,98,8,21.2451,"[21.2451, 22.7605, 26.7512, 54.202, 60.9216, 70.9596, 87.2637, 98.3319]",0.11620970000512898
B_00399_LB_00160_Cl_00456,399,160,456,1,-2793.631087,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00399_Nu_00160_Cl_00456_0001.log,True,ok,,,-2793.95269056,-2793.716721176168,-2793.707198997814,-2793.709202464318,-2793.7148189697964,0.23596938383225474,0.2454915621860284,298.15,100.0,116,11,10.926,"[10.926, 13.8298, 19.6943, 30.7796, 36.8144, 51.1188, 56.4339, 65.1056, 74.1315, 88.1659, 93.7165]",0.20010020001791418
B_00399_LB_00184_Cl_00492,399,184,492,10,-1974.620394,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00399_Nu_00184_Cl_00492_0010.log,True,ok,,,-1975.03347929,-1974.7850196462125,-1974.7787957125522,-1974.7795196864802,-1974.78432715413,0.24845964378758212,0.25468357744777764,298.15,100.0,116,10,14.1528,"[14.1528, 27.7925, 31.2675, 36.5894, 51.1945, 79.1177, 82.7146, 93.0707, 94.3432, 98.3742]",0.4300641999579966
B_00399_LB_00195_Cl_00483,399,195,483,0,-2181.453268,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00399_Nu_00195_Cl_00483_0000.log,True,ok,,,-2181.89186563,-2181.611183332445,-2181.60515430386,-2181.6058781990396,-2181.6106919971535,0.2806822975552799,0.2867113261399549,298.15,100.0,131,9,20.5235,"[20.5235, 28.1003, 34.2276, 35.1794, 53.7135, 62.8318, 81.9811, 86.9287, 95.6294]",0.1174548000562936
B_00399_LB_00292_Cl_00483,399,292,483,10,-1945.2045,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00399_Nu_00292_Cl_00483_0010.log,True,ok,,,-1945.50271263,-1945.3406728827024,-1945.3349318971868,-1945.3357631384263,-1945.3399258407514,0.16203974729755685,0.16778073281311717,298.15,100.0,92,8,19.2699,"[19.2699, 21.3894, 29.3978, 48.7599, 55.6109, 80.4337, 84.8361, 97.2514]",0.07000860013067722
B_00399_LB_00296_Cl_00483,399,296,483,1,-2023.793482,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00399_Nu_00296_Cl_00483_0001.log,True,ok,,,-2024.1597436,-2023.9428571575254,-2023.9375121214325,-2023.938179482234,-2023.9424390363324,0.2168864424746315,0.2222314785674646,298.15,100.0,110,8,21.7353,"[21.7353, 24.7607, 31.8655, 49.4896, 59.3015, 71.9549, 92.5443, 99.0774]",0.4877824999857694
B_00399_LB_00306_Cl_00479,399,306,479,10,-2120.796126,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00399_Nu_00306_Cl_00479_0010.log,True,ok,,,-2121.21753633,-2120.994140756306,-2120.9880353382405,-2120.9888027502225,-2120.9934797194546,0.22339557369373936,0.22950099175932817,298.15,100.0,116,9,17.3132,"[17.3132, 23.8918, 35.75, 45.6115, 50.2965, 62.0234, 79.1222, 91.5937, 96.6698]",0.2557126998435706
B_00399_LB_00306_Cl_00485,399,306,485,0,-1967.196736,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00399_Nu_00306_Cl_00485_0000.log,True,ok,,,-1967.53085964,-1967.3532146465675,-1967.3470002902145,-1967.347983269619,-1967.3522612256784,0.17764499343247903,0.18385934978553625,298.15,100.0,98,8,18.6658,"[18.6658, 21.6378, 30.6509, 39.3769, 43.3044, 73.6598, 86.2394, 98.2412]",0.3074690999928862
B_00399_LB_00313_Cl_00483,399,313,483,10,-1914.361523,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00399_Nu_00313_Cl_00483_0010.log,True,ok,,,-1914.71753901,-1914.499919842518,-1914.4961744541426,-1914.4963968526745,-1914.4999023950286,0.21761916748204163,0.2213645558574599,298.15,100.0,104,7,26.54,"[26.54, 34.3221, 47.2237, 62.8941, 73.7182, 92.3087, 99.1337]",0.12078950018621981
B_00399_LB_00366_Cl_00483,399,366,483,0,-2327.580993,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00399_Nu_00366_Cl_00483_0000.log,True,ok,,,-2327.95215471,-2327.727609078917,-2327.7212964409064,-2327.7221810009637,-2327.726955344423,0.22454563108311076,0.2308582690933375,298.15,100.0,119,9,15.8332,"[15.8332, 20.5797, 31.8224, 47.3856, 61.349, 65.7688, 73.237, 81.7501, 99.6615]",0.4074436000082642
B_00399_LB_00367_Cl_00483,399,367,483,3,-2067.934001,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00399_Nu_00367_Cl_00483_0003.log,True,ok,,,-2068.37041513,-2068.1116571688203,-2068.105424911627,-2068.106358619152,-2068.110769905971,0.25875796117962385,0.2649902183731947,298.15,100.0,122,8,12.9213,"[12.9213, 24.3576, 34.4527, 44.0923, 51.042, 71.4861, 80.6976, 91.7177]",0.6936792000196874
B_00399_LB_00377_Cl_00479,399,377,479,13,-2109.831246,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00399_Nu_00377_Cl_00479_0013.log,True,ok,,,-2110.28057808,-2110.020225106094,-2110.0126872229175,-2110.0142920714216,-2110.0187197357636,0.26035297390572704,0.2678908570823396,298.15,100.0,125,9,8.3684,"[8.3684, 16.6943, 26.8835, 44.4278, 50.6643, 56.2302, 81.2151, 85.9523, 97.211]",0.47806900017894804
B_00399_LB_00377_Cl_00485,399,377,485,1,-1956.229669,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00399_Nu_00377_Cl_00485_0001.log,True,ok,,,-1956.59572122,-1956.3790025299804,-1956.3734624020672,-1956.374302485232,-1956.3782487232893,0.21671869001968055,0.2222588179329154,298.15,100.0,107,8,19.2748,"[19.2748, 22.3649, 33.7279, 47.5312, 57.5199, 81.1054, 87.4105, 95.774]",0.4853360999841243
B_00400_LB_00067_Cl_00483,400,67,483,11,-1799.107534,False,True,E:\work\B_Cl_Nu\Sum\TS_needIRC\B_00400_Nu_00067_Cl_00483_0011.log,True,ok,,,-1799.38314209,-1799.1897756405137,-1799.1866140389623,-1799.1866458547963,-1799.189980145895,0.19336644948639153,0.19652805103772353,298.15,100.0,92,7,28.6269,"[28.6269, 38.9977, 57.8835, 72.0109, 78.7301, 93.9916, 98.7201]",0.5417434999253601
